,Number of returns,Number of exemptions,,Adjusted Gross Income,Salaries and Wages,,Taxable Interest,,Total Tax,,Schedule C Net Profit/Loss,Schedule F Net Profit/Loss,Total Itemized Deductions
"Under $10,000        ",537,688,94,"1,202",391,"2,603",127,80,210,97,76,--        ,30
"$10,000 under $25,000",541,904,260,"9,123",441,"7,303",162,121,388,438,104,--        ,97
"$25,000 under $50,000",707,"1,687",684,"26,146",640,"22,902",328,153,538,"1,536",135,--        ,355
"$50,000 under $75,000",709,"2,110",908,"44,442",676,"39,805",533,277,611,"2,587",154,--        ,603
"$75,000 under $100,000",720,"2,353","1,049","62,847",695,"56,826",609,306,690,"4,241",126,--        ,697
"$100,000 or more     ","1,127","3,857","1,695","176,292","1,082","142,683","1,019",960,"1,118","23,772",219,--        ,"1,108"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91915,"6,746","17,455","6,995","428,006","6,182","369,948","3,917","2,182","5,396","39,357","1,115",*         ,"4,146"
"Under $10,000        ",807,"1,087",201,"2,297",635,"4,070",178,125,299,148,109,--        ,40
"$10,000 under $25,000",971,"1,797",621,"16,599",834,"13,858",228,152,649,739,147,--        ,165
"$25,000 under $50,000","1,371","3,225","1,304","50,868","1,255","44,974",639,269,"1,034","2,759",214,--        ,675
"$50,000 under $75,000","1,267","3,726","1,628","79,261","1,211","71,864",903,334,"1,117","4,689",219,--        ,"1,037"
"$75,000 under $100,000","1,046","3,345","1,417","90,918","1,020","83,079",853,313,"1,019","6,631",179,--        ,971
"$100,000 or more     ","1,284","4,275","1,824","188,063","1,227","152,103","1,116",989,"1,278","24,391",247,*         ,"1,258"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91916,870,"1,822",500,"48,108",703,"34,553",493,558,711,"5,468",175,10,421
"Under $10,000        ",158,208,28,381,113,695,49,17,59,51,14,10,14
"$10,000 under $25,000",138,250,71,"2,315",97,"1,532",56,29,100,110,29,*         ,26
"$25,000 under $50,000",216,413,102,"7,986",182,"6,205",106,101,199,586,42,*         ,91
"$50,000 under $75,000",139,350,112,"8,614",121,"6,602",101,85,135,726,33,*         ,87
"$75,000 under $100,000",106,308,109,"9,051",95,"7,212",80,29,105,853,29,*         ,98
"$100,000 or more     ",113,293,78,"19,761",95,"12,307",101,297,113,"3,142",28,--        ,105
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91917,398,"1,020",417,"14,598",341,"10,721",116,108,260,"1,128",56,*         ,104
"Under $10,000        ",62,113,41,366,53,308,*         ,*              ,20,8,*         ,--        ,--        
"$10,000 under $25,000",146,332,132,"2,572",117,"1,917",41,42,84,98,29,--        ,15
"$25,000 under $50,000",101,326,161,"3,549",94,"3,138",21,6,67,159,13,--        ,25
"$50,000 under $75,000",46,136,52,"2,801",38,"2,020",22,22,46,212,14,--        ,28
"$75,000 under $100,000",19,46,10,"1,621",18,"1,296",14,2,19,163,*         ,--        ,15
"$100,000 or more     ",24,67,21,"3,689",21,"2,042",18,36,24,488,*         ,*         ,21
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91921,297,702,269,"19,652",256,"14,342",140,76,228,"2,324",54,--        ,156
"Under $10,000        ",37,50,10,78,22,101,*         ,*              ,*         ,*              ,*         ,--        ,*         
"$10,000 under $25,000",50,106,46,890,43,701,19,1,41,46,15,--        ,*         
"$25,000 under $50,000",73,169,69,"2,685",65,"2,496",29,13,56,173,14,--        ,39
"$50,000 under $75,000",49,121,44,"3,002",46,"2,660",29,12,45,212,14,--        ,35
"$75,000 under $100,000",37,105,45,"3,155",33,"2,573",19,5,35,290,*         ,--        ,31
"$100,000 or more     ",51,151,55,"9,842",47,"5,811",44,45,51,"1,603",11,--        ,51
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91931,188,391,129,"6,770",153,"5,037",57,19,136,553,31,--        ,48
"Under $10,000        ",34,54,13,138,22,101,*         ,*              ,10,5,15,--        ,--        
"$10,000 under $25,000",62,109,33,"1,039",48,796,13,1,41,43,*         ,--        ,*         
"$25,000 under $50,000",50,104,36,"1,723",44,"1,453",21,6,44,109,16,--        ,20
"$50,000 under $75,000",20,63,26,"1,215",20,"1,081",12,2,19,88,*         ,--        ,11
"$75,000 under $100,000",22,61,21,"2,655",19,"1,606",11,10,22,308,*         ,--        ,17
"$100,000 or more     ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--        ,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91932,"10,744","22,570","8,251","354,707","9,479","295,385","3,079","3,188","7,587","28,323","1,105",*         ,"2,071"
"Under $10,000        ","1,802","2,698",742,"5,360","1,434","8,160",269,142,573,232,259,--        ,55
"$10,000 under $25,000","3,635","6,871","2,515","63,703","3,189","54,647",625,505,"2,361","2,402",330,--        ,256
"$25,000 under $50,000","3,260","7,453","2,932","114,938","3,012","101,637",927,627,"2,656","6,947",276,*         ,590
"$50,000 under $75,000","1,202","3,191","1,241","72,579","1,086","60,688",609,483,"1,158","6,098",106,--        ,523
"$75,000 under $100,000",501,"1,440",532,"42,997",461,"36,164",351,506,495,"4,276",61,--        ,337
"$100,000 or more     ",344,917,289,"55,130",297,"34,089",298,925,344,"8,368",73,*         ,310
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91933,471,898,286,"15,296",378,"12,490",155,55,345,"1,308",42,--        ,101
"Under $10,000        ",78,110,25,231,49,358,19,8,26,13,10,--        ,*         
"$10,000 under $25,000",153,290,98,"2,737",115,"2,113",39,14,99,104,16,--        ,19
"$25,000 under $50,000",153,312,109,"5,508",135,"4,672",48,22,134,391,16,--        ,36
"$50,000 under $75,000",53,108,32,"3,249",49,"2,740",27,5,52,323,*         ,--        ,22
"$75,000 under $100,000",22,44,10,"1,826",30,"2,607",22,6,22,235,--        ,--        ,14
"$100,000 or more     ",12,34,12,"1,745",*         ,*              ,*         ,*              ,12,242,*         ,--        ,10
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91934,254,552,197,"7,809",203,"6,075",71,29,181,526,32,--        ,66
"Under $10,000        ",45,69,14,225,27,159,*         ,*              ,13,8,10,--        ,*         
"$10,000 under $25,000",85,162,54,"1,411",65,975,22,14,59,54,22,--        ,*         
"$25,000 under $50,000",76,202,87,"2,716",68,"2,177",28,13,61,142,*         ,--        ,33
"$50,000 under $75,000",33,85,33,"2,018",30,"1,613",21,2,33,170,--        ,--        ,21
"$75,000 under $100,000",15,34,9,"1,439",13,"1,151",*         ,*              ,15,152,*         ,--        ,12
"$100,000 or more     ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--        ,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91935,"3,995","9,053","2,944","346,230","3,164","199,248","2,378","5,085","3,247","54,649",911,64,"2,051"
"Under $10,000        ",697,903,139,"2,735",470,"2,745",221,133,256,114,116,*         ,50
"$10,000 under $25,000",685,"1,141",275,"11,592",492,"7,846",232,261,519,603,114,16,124
"$25,000 under $50,000",764,"1,706",609,"27,853",600,"19,738",379,487,664,"2,045",176,*         ,277
"$50,000 under $75,000",560,"1,443",502,"34,726",473,"24,977",407,665,529,"2,978",158,17,380
"$75,000 under $100,000",395,"1,135",401,"34,182",353,"26,146",323,416,387,"3,061",98,*         ,352
"$100,000 or more     ",894,"2,725","1,018","235,142",776,"117,796",816,"3,123",892,"45,848",249,31,868
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91941,"20,444","38,882","10,564","1,142,151","16,136","749,158","10,699","22,964","16,503","143,145","3,596",32,"8,335"
"Under $10,000        ","3,263","4,159",623,"10,335","2,216","12,386",942,881,"1,155",593,545,*         ,193
"$10,000 under $25,000","4,547","7,114","1,759","78,416","3,428","56,706","1,452","2,009","3,354","3,809",626,*         ,636
"$25,000 under $50,000","5,227","9,471","2,694","189,829","4,330","147,543","2,415","3,196","4,694","14,444",745,20,"1,657"
"$50,000 under $75,000","3,027","6,623","1,984","186,478","2,490","137,458","2,095","3,201","2,943","17,440",585,*         ,"1,921"
"$75,000 under $100,000","1,785","4,474","1,329","153,892","1,510","112,940","1,449","2,461","1,769","15,833",435,12,"1,479"
"$100,000 or more     ","2,595","7,041","2,175","523,201","2,162","282,125","2,346","11,216","2,588","91,026",660,*         ,"2,449"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91942,"11,276","19,346","4,524","490,815","8,981","362,387","5,529","8,018","9,289","52,727","1,565",*         ,"3,857"
"Under $10,000        ","1,706","2,070",231,"6,382","1,166","6,660",524,538,577,249,292,--        ,138
"$10,000 under $25,000","2,786","3,884",685,"48,213","2,074","34,052",947,"1,430","2,236","2,413",356,--        ,378
"$25,000 under $50,000","3,334","5,465","1,283","121,165","2,759","95,039","1,479","1,697","3,063","9,801",380,--        ,935
"$50,000 under $75,000","1,741","3,615","1,028","106,528","1,490","83,696","1,162","1,259","1,709","10,478",252,--        ,985
"$75,000 under $100,000",934,"2,332",709,"80,598",820,"63,582",724,837,931,"8,544",145,--        ,710
"$100,000 or more     ",775,"1,980",588,"127,929",672,"79,358",693,"2,257",773,"21,242",140,*         ,711
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91943,254,405,82,"13,438",155,"6,535",152,395,194,"1,629",46,--        ,125
"Under $10,000        ",44,60,7,153,18,83,17,5,17,17,13,--        ,*         
"$10,000 under $25,000",48,74,20,805,29,501,23,42,31,34,12,--        ,20
"$25,000 under $50,000",66,92,16,"2,388",47,"1,616",35,34,59,187,*         ,--        ,26
"$50,000 under $75,000",44,72,13,"2,685",26,"1,391",35,85,38,258,21,--        ,36
"$75,000 under $100,000",23,49,14,"1,969",16,"1,244",19,93,22,237,*         ,--        ,17
"$100,000 or more     ",29,58,12,"5,438",19,"1,700",23,136,27,896,*         ,--        ,26
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91944,704,"1,156",264,"38,067",542,"22,389",383,934,576,"4,844",137,--        ,296
"Under $10,000        ",111,137,18,418,65,414,41,39,28,18,31,--        ,*         
"$10,000 under $25,000",151,212,44,"2,586",116,"1,835",50,28,120,149,26,--        ,32
"$25,000 under $50,000",198,317,86,"7,445",173,"6,317",94,101,187,638,30,--        ,67
"$50,000 under $75,000",111,202,49,"6,824",90,"4,824",80,107,108,727,29,--        ,75
"$75,000 under $100,000",47,96,25,"4,012",37,"2,599",41,214,47,475,*         ,--        ,39
"$100,000 or more     ",86,192,42,"16,782",61,"6,400",77,445,86,"2,837",21,--        ,83
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91945,"10,559","22,288","7,881","388,319","9,090","317,565","4,131","3,673","7,824","30,679","1,433",*         ,"3,534"
"Under $10,000        ","1,793","2,552",588,"6,904","1,332","7,194",333,231,558,258,264,--        ,75
"$10,000 under $25,000","2,810","5,012","1,667","48,574","2,311","38,045",683,635,"1,982","2,107",365,--        ,354
"$25,000 under $50,000","3,283","7,233","2,792","117,912","2,962","100,471","1,245","1,029","2,720","7,349",428,--        ,"1,116"
"$50,000 under $75,000","1,528","4,191","1,655","93,816","1,411","78,866",969,763,"1,428","7,188",198,*         ,989
"$75,000 under $100,000",728,"2,097",762,"62,314",698,"52,915",554,329,719,"5,751",109,--        ,623
"$100,000 or more     ",417,"1,203",417,"58,799",376,"40,074",347,686,417,"8,026",69,*         ,377
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91946,409,744,229,"15,274",346,"12,005",155,87,318,"1,485",58,--        ,128
"Under $10,000        ",59,80,14,242,36,189,14,9,17,10,15,--        ,*         
"$10,000 under $25,000",124,192,51,"2,177",104,"1,744",29,35,90,98,21,--        ,23
"$25,000 under $50,000",146,286,107,"5,428",135,"4,794",61,11,131,371,22,--        ,47
"$50,000 under $75,000",44,96,29,"2,686",38,"2,007",22,7,44,268,*         ,--        ,25
"$75,000 under $100,000",19,46,15,"1,606",18,"1,327",13,2,19,166,--        ,--        ,16
"$100,000 or more     ",17,44,13,"3,135",15,"1,944",16,23,17,572,*         ,--        ,17
